,Player,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,Pick
0,Aaron Gordon,15.1,0.516,0.309,0.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,0.087,-0.1,0.1,0.001,1.0,PF,24,ORL,62,62.0,32.5,5.4,12.4,0.437,1.2,3.8,0.308,4.2,8.5,0.494,0.484,2.4,3.6,0.674,7.7,3.7,0.8,0.6,1.6,2.0,14.4,19863636,4
1,Aaron Holiday,11.6,0.521,0.393,0.155,1.5,9.0,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,0.063,-1.6,0.001,-1.6,0.2,PG,23,IND,66,33.0,24.5,3.5,8.5,0.414,1.3,3.3,0.394,2.2,5.2,0.427,0.491,1.1,1.3,0.851,2.4,3.4,0.8,0.2,1.3,1.8,9.5,2239200,23
2,Abdel Nader,11.3,0.591,0.487,0.251,1.8,10.6,6.4,6.4,1.3,2.0,12.8,17.0,0.5,0.9,1.3,0.074,-1.1,0.2,-1.0,0.2,SF,26,OKC,55,6.0,15.8,2.2,4.8,0.468,0.9,2.3,0.375,1.4,2.5,0.556,0.559,0.9,1.2,0.773,1.8,0.7,0.4,0.4,0.8,1.4,6.3,1618520,58
3,Adam Mokoka,8.2,0.538,0.536,0.143,6.6,3.1,4.9,5.0,1.7,0.001,6.3,12.1,0.1,0.1,0.2,0.073,-3.1,-1.0,-4.1,-0.1,SG,21,CHI,11,0.001,10.2,1.1,2.5,0.429,0.5,1.4,0.4,0.5,1.2,0.462,0.536,0.2,0.4,0.5,0.9,0.4,0.4,0.001,0.2,1.5,2.9,79568,61
4,Admiral Schofield,6.1,0.502,0.663,0.163,2.0,12.4,7.0,5.3,1.0,0.9,6.6,11.9,0.1,0.1,0.1,0.017,-4.3,-1.2,-5.5,-0.3,SF,22,WAS,33,2.0,11.2,1.1,2.8,0.38,0.6,1.8,0.311,0.5,0.9,0.516,0.484,0.3,0.5,0.667,1.4,0.5,0.2,0.1,0.2,1.5,3.0,1000000,42
5,Al Horford,15.7,0.536,0.399,0.113,5.6,19.3,12.4,19.2,1.2,2.6,9.7,17.5,2.8,2.6,5.4,0.128,1.3,1.0,2.2,2.2,C,33,PHI,67,61.0,30.2,4.8,10.6,0.45,1.5,4.2,0.35,3.3,6.4,0.516,0.52,0.9,1.2,0.763,6.8,4.0,0.8,0.9,1.2,2.1,11.9,28000000,3
6,AlFarouq Aminu,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.014,-4.4,1.4,-3.0,-0.1,PF,29,ORL,18,2.0,21.1,1.4,4.8,0.291,0.5,2.0,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,4.8,1.2,1.0,0.4,0.9,1.5,4.3,9258000,8
7,Alec Burks,16.1,0.552,0.373,0.373,2.8,15.3,8.8,17.4,1.7,1.1,9.8,23.8,1.6,0.9,2.5,0.085,0.7,-0.6,0.1,0.7,SG,28,GSW,48,18.0,29.0,5.1,12.5,0.406,1.8,4.7,0.375,3.3,7.9,0.424,0.476,4.2,4.7,0.897,4.7,3.1,1.0,0.4,1.6,2.2,16.1,2320044,12
8,Alen Smailagic,14.5,0.61,0.325,0.475,7.5,13.7,10.5,14.3,1.0,2.6,18.5,18.2,0.2,0.1,0.2,0.081,-1.4,-0.8,-2.2,0.001,PF,19,GSW,14,0.001,9.9,1.4,2.9,0.5,0.2,0.9,0.231,1.2,1.9,0.63,0.538,1.1,1.4,0.842,1.9,0.9,0.2,0.3,0.8,1.0,4.2,898310,39
9,Alex Caruso,10.8,0.525,0.412,0.323,1.6,9.8,5.7,13.6,2.8,1.4,13.8,13.8,0.5,1.8,2.3,0.095,-2.6,2.4,-0.2,0.5,PG,25,LAL,64,2.0,18.4,1.9,4.5,0.412,0.6,1.9,0.333,1.3,2.7,0.468,0.481,1.1,1.5,0.734,1.9,1.9,1.1,0.3,0.8,1.5,5.5,2750000,61
